+-------------------------------+-------+----------+---------------+
| Batsman                       | Runs  | Hundreds | Runs/Hundreds |
| Khurram Manzoor               | 4239  | 30       | 141.30        |
| Greg Smith                    | 989   | 7        | 141.28        |
| Stuart Law                    | 11157 | 79       | 141.22        |
| Neil Ferreira                 | 1271  | 9        | 141.22        |
| Peter Fulton                  | 2682  | 19       | 141.15        |
| Amol Muzumdar                 | 4234  | 30       | 141.13        |
| Fred Bakewell                 | 4374  | 31       | 141.09        |
| James Hildreth                | 6631  | 47       | 141.08        |
| Rameez Raja                   | 2398  | 17       | 141.05        |
| David Warner                  | 4513  | 32       | 141.03        |
| Hubert Ashton                 | 1128  | 8        | 141.00        |
| Wriddhiman Saha               | 1833  | 13       | 141.00        |
| Sangeeth Cooray               | 987   | 7        | 141.00        |
| Albie Morkel                  | 1128  | 8        | 141.00        |
| Ron Hart                      | 846   | 6        | 141.00        |
| Phillip Hughes                | 3666  | 26       | 141.00        |
| Percy McAlister               | 1269  | 9        | 141.00        |
| Michael Papps                 | 4652  | 33       | 140.96        |
| Travis Head                   | 2678  | 19       | 140.94        |
| Hemu Adhikari                 | 2396  | 17       | 140.94        |
| Niall O'Brien                 | 2114  | 15       | 140.93        |
| Ramnath Kenny                 | 1550  | 11       | 140.90        |
| Ashwani Gupta                 | 1409  | 10       | 140.90        |
| Carl Bradfield                | 1268  | 9        | 140.88        |
| Salahuddin                    | 1972  | 14       | 140.85        |
| Bill Brown                    | 5493  | 39       | 140.84        |
| Vijay Mohanraj                | 845   | 6        | 140.83        |
| Robert Poore                  | 1549  | 11       | 140.81        |
| Frank Sugg                    | 2253  | 16       | 140.81        |
| Chesney Hughes                | 1408  | 10       | 140.80        |
| Will Smith                    | 2534  | 18       | 140.77        |
| Andy Flower                   | 6898  | 49       | 140.77        |
| Faiz Fazal                    | 3097  | 22       | 140.77        |
| Duleep                        | 7038  | 50       | 140.76        |
| Bert Hopkins                  | 1126  | 8        | 140.75        |
| Sridharan Sriram              | 4504  | 32       | 140.75        |
| Dane Cleaver                  | 985   | 7        | 140.71        |
| Aaron Finch                   | 985   | 7        | 140.71        |
| Chetan Chauhan                | 2955  | 21       | 140.71        |
| Reggie Spooner                | 4362  | 31       | 140.70        |
| Imtiaz Ahmed                  | 3095  | 22       | 140.68        |
| Len Creese                    | 844   | 6        | 140.66        |
| Patsy Hendren                 | 23909 | 170      | 140.64        |
| Roshen Silva                  | 3516  | 25       | 140.64        |
| Naman Ojha                    | 3094  | 22       | 140.63        |
| Saurabh Tiwary                | 2672  | 19       | 140.63        |
| John Maunders                 | 1125  | 8        | 140.62        |
| Sahil Kukreja                 | 984   | 7        | 140.57        |
| Bhaskar Pillai                | 2530  | 18       | 140.55        |
| Mitchell Marsh                | 1546  | 11       | 140.54        |
| Arthur Morris                 | 6465  | 46       | 140.54        |
| Bruce Francis                 | 1827  | 13       | 140.53        |
| Hamilton Masakadza            | 3232  | 23       | 140.52        |
| Michael Di Venuto             | 8431  | 60       | 140.51        |
| Bruce Murray                  | 843   | 6        | 140.50        |
| Martyn Moxon                  | 6322  | 45       | 140.48        |
| Ricky Ponting                 | 11520 | 82       | 140.48        |
| Dudley Nourse                 | 5760  | 41       | 140.48        |
| Lala Amarnath                 | 4354  | 31       | 140.45        |
| Tharanga Paranavitana         | 5618  | 40       | 140.45        |
| Leo O'Connor                  | 1264  | 9        | 140.44        |
| Travis Birt                   | 1264  | 9        | 140.44        |
| Vijay Bharadwaj               | 1966  | 14       | 140.42        |
| Robin Bist                    | 2106  | 15       | 140.40        |
| Gilbert Jessop                | 7441  | 53       | 140.39        |
| Michael Klinger               | 4210  | 30       | 140.33        |
| Aditya Tare                   | 1263  | 9        | 140.33        |
| Jack Hearne                   | 13468 | 96       | 140.29        |
| Syd Brown                     | 3086  | 22       | 140.27        |
| Connor Williams               | 2665  | 19       | 140.26        |
| Umar Siddiq                   | 1683  | 12       | 140.25        |
| Kraigg Brathwaite             | 3506  | 25       | 140.24        |
| Peter Burge                   | 5329  | 38       | 140.23        |
| Grahame Thomas                | 2384  | 17       | 140.23        |
| Doug Marillier                | 981   | 7        | 140.14        |
| Phiroze Palia                 | 1121  | 8        | 140.12        |
| Jason Gallian                 | 5324  | 38       | 140.10        |
| Derek Aslett                  | 1681  | 12       | 140.08        |
| Hari Gidwani                  | 2101  | 15       | 140.06        |
| Tony Frost                    | 840   | 6        | 140.00        |
| Dominic Thornely              | 1400  | 10       | 140.00        |
| Milinda Siriwardene           | 1960  | 14       | 140.00        |
| Mohammad Waqas                | 840   | 6        | 140.00        |
| Aiden Markram                 | 2380  | 17       | 140.00        |
| Vijay Yadav                   | 980   | 7        | 140.00        |
| Matthew Mott                  | 980   | 7        | 140.00        |
| Samit Patel                   | 3639  | 26       | 139.96        |
| Lindsay Hassett               | 8256  | 59       | 139.93        |
| Lorrie Wilmot                 | 1679  | 12       | 139.91        |
| Maurice Foster                | 2378  | 17       | 139.88        |
| Tom Hayward                   | 14547 | 104      | 139.87        |
| Rudi Second                   | 2937  | 21       | 139.85        |
| Dean Brownlie                 | 1958  | 14       | 139.85        |
| Glenn Turner                  | 14405 | 103      | 139.85        |
| Daryl Mitchell                | 5454  | 39       | 139.84        |
| Jitender Singh                | 1678  | 12       | 139.83        |
| Richardt Frenz                | 839   | 6        | 139.83        |
| Keegan Petersen               | 2377  | 17       | 139.82        |
| Jimmy Iremonger               | 4334  | 31       | 139.80        |
| Andy Moles                    | 4054  | 29       | 139.79        |
| Upul Tharanga                 | 3355  | 24       | 139.79        |
| Alviro Petersen               | 5871  | 42       | 139.78        |
| Sydney Smith                  | 1957  | 14       | 139.78        |
| Sam Northeast                 | 3494  | 25       | 139.76        |
| Graeme Pollock                | 8944  | 64       | 139.75        |
| Sonny Avery                   | 3493  | 25       | 139.72        |
| Bobby Peel                    | 978   | 7        | 139.71        |
| Gavin Ewing                   | 978   | 7        | 139.71        |
| Mahmood-ul-Hasan              | 838   | 6        | 139.66        |
| Kyle Verreynne                | 838   | 6        | 139.66        |
| Roelof van der Merwe          | 838   | 6        | 139.66        |
| Umar Amin                     | 3352  | 24       | 139.66        |
| Levi Wright                   | 2793  | 20       | 139.65        |
| Datta Gaekwad                 | 2374  | 17       | 139.64        |
| Mal Loye                      | 5863  | 42       | 139.59        |
| Graeme Watson                 | 977   | 7        | 139.57        |
| Dawid Malan                   | 3768  | 27       | 139.55        |
| Hylton Ackerman               | 5582  | 40       | 139.55        |
| Zaheer Abbas                  | 15071 | 108      | 139.54        |
| Errol Stewart                 | 1535  | 11       | 139.54        |
| Colin Bland                   | 1814  | 13       | 139.53        |
| Shahriar Nafees               | 2093  | 15       | 139.53        |
| Ally Brown                    | 6558  | 47       | 139.53        |
| Mohammad Ayub                 | 2511  | 18       | 139.50        |
| Devon Smith                   | 5300  | 38       | 139.47        |
| Talat Ali                     | 2092  | 15       | 139.46        |
| Angelo Mathews                | 2928  | 21       | 139.42        |
| Terence Lazard                | 1673  | 12       | 139.41        |
| Andrew Stoddart               | 3624  | 26       | 139.38        |
| Sid Barnes                    | 3624  | 26       | 139.38        |
| Ramnath Parkar                | 1115  | 8        | 139.37        |
| Joe Sayers                    | 1533  | 11       | 139.36        |
| Waqar Orakzai                 | 836   | 6        | 139.33        |
| Charlie McGahey               | 4319  | 31       | 139.32        |
| Aftab Baloch                  | 2786  | 20       | 139.30        |
| Mark Richardson               | 2786  | 20       | 139.30        |
| Marco Marais                  | 975   | 7        | 139.28        |
| Murray Hofmeyr                | 975   | 7        | 139.28        |
| Graham Gooch                  | 17827 | 128      | 139.27        |
| Rakesh Parikh                 | 1253  | 9        | 139.22        |
| Alan Kruger                   | 835   | 6        | 139.16        |
| Madhukar Gupte                | 835   | 6        | 139.16        |
| Alexander Hosie               | 1113  | 8        | 139.12        |
| Mominul Haque                 | 3478  | 25       | 139.12        |
| Freddie Jakeman               | 1530  | 11       | 139.09        |
| Matthew Elliott               | 6953  | 50       | 139.06        |
| Angelo Perera                 | 2781  | 20       | 139.05        |
| Arthur Fagg                   | 8063  | 58       | 139.01        |
| Khaqan Arsal                  | 973   | 7        | 139.00        |
