+------+-------------------------------+---------+--------+-------+
| Rank | Batsman                       | Average | Others | Ratio |
| 345  | Kakkudasam Rajagopal          | 34.53   | 21.61  | 1.597 |
| 346  | Yashpal Sharma                | 44.88   | 28.09  | 1.597 |
| 347  | Neil Rosendorff               | 42.49   | 26.60  | 1.597 |
| 348  | Joe Hardstaff                 | 44.35   | 27.77  | 1.597 |
| 349  | Henry Fotheringham            | 40.06   | 25.09  | 1.596 |
| 350  | Plum Warner                   | 36.28   | 22.74  | 1.595 |
| 351  | Pankaj Roy                    | 42.38   | 26.59  | 1.593 |
| 352  | Obus Pienaar                  | 45.39   | 28.48  | 1.593 |
| 353  | Saad Ali                      | 44.36   | 27.83  | 1.593 |
| 354  | David Denton                  | 33.40   | 20.96  | 1.593 |
| 355  | Daryll Cullinan               | 44.79   | 28.12  | 1.592 |
| 356  | Russell Endean                | 37.83   | 23.76  | 1.592 |
| 357  | Murray Goodwin                | 46.69   | 29.34  | 1.591 |
| 358  | Merv Wallace                  | 44.32   | 27.86  | 1.590 |
| 359  | Bhupinder Singh               | 46.04   | 28.97  | 1.589 |
| 360  | Sydney Smith                  | 31.28   | 19.69  | 1.589 |
| 361  | Devon Smith                   | 39.45   | 24.83  | 1.589 |
| 362  | Marques Ackerman              | 47.06   | 29.63  | 1.588 |
| 363  | Thomas Beagley                | 17.10   | 10.77  | 1.587 |
| 364  | Sybrand Engelbrecht           | 40.35   | 25.41  | 1.587 |
| 365  | Brijesh Patel                 | 45.63   | 28.76  | 1.586 |
| 366  | Roger Blunt                   | 40.99   | 25.83  | 1.586 |
| 367  | Damien Martyn                 | 49.25   | 31.05  | 1.586 |
| 368  | Andrew Stoddart               | 32.12   | 20.25  | 1.586 |
| 369  | Dodger Whysall                | 38.76   | 24.47  | 1.583 |
| 370  | Ken Viljoen                   | 43.28   | 27.34  | 1.582 |
| 371  | Archie MacLaren               | 34.15   | 21.59  | 1.581 |
| 372  | Hemant Kanitkar               | 42.78   | 27.05  | 1.581 |
| 373  | Peter Burge                   | 47.53   | 30.06  | 1.580 |
| 374  | Matthew Elliott               | 47.00   | 29.73  | 1.580 |
| 375  | Reggie Spooner                | 36.28   | 22.96  | 1.580 |
| 376  | Mushtaq Mohammad              | 42.07   | 26.62  | 1.580 |
| 377  | Imad Wasim                    | 40.68   | 25.74  | 1.580 |
| 378  | Rizwan Shamshad               | 45.86   | 29.03  | 1.579 |
| 379  | Alfred Lyttelton              | 27.85   | 17.63  | 1.579 |
| 380  | Craig Williams                | 40.52   | 25.68  | 1.577 |
| 381  | Hari Gidwani                  | 42.53   | 26.95  | 1.577 |
| 382  | Abdul Jabbar                  | 40.66   | 25.77  | 1.577 |
| 383  | Herbie Hewett                 | 29.30   | 18.58  | 1.576 |
| 384  | Majid Khan                    | 43.01   | 27.28  | 1.576 |
| 385  | Babar Azam                    | 43.81   | 27.79  | 1.576 |
| 386  | Terence Lazard                | 40.30   | 25.57  | 1.575 |
| 387  | Edgar Oldroyd                 | 35.15   | 22.31  | 1.575 |
| 388  | Kevin Pietersen               | 49.76   | 31.58  | 1.575 |
| 389  | Dilip Vengsarkar              | 52.86   | 33.58  | 1.574 |
| 390  | Arthur Mitchell               | 37.47   | 23.82  | 1.572 |
| 391  | Paul Sheahan                  | 46.16   | 29.35  | 1.572 |
| 392  | Pieter Malan                  | 46.24   | 29.40  | 1.572 |
| 393  | Ganesh Satish                 | 46.90   | 29.83  | 1.571 |
| 394  | Adam Voges                    | 46.42   | 29.53  | 1.571 |
| 395  | Liton Das                     | 49.00   | 31.21  | 1.570 |
| 396  | Qaasim Adams                  | 40.00   | 25.49  | 1.569 |
| 397  | Mark Richardson               | 42.89   | 27.32  | 1.569 |
| 398  | Leus du Plooy                 | 43.54   | 27.76  | 1.568 |
