+------+--------------------------+---------+--------+-------+
| Rank | Batsman                  | Average | Others | Ratio |
| 392  | Vijay Shankar            | 31.85   | 31.06  | 1.025 |
| 393  | Nasir Hossain            | 29.11   | 28.41  | 1.024 |
| 394  | Jamie How                | 29.05   | 28.39  | 1.023 |
| 395  | Amjad Ali                | 30.58   | 29.91  | 1.022 |
| 396  | Steven Taylor            | 23.36   | 22.86  | 1.022 |
| 397  | Heath Streak             | 28.28   | 27.72  | 1.020 |
| 398  | Tareq Aziz               | 26.00   | 25.53  | 1.018 |
| 399  | Chris Tavar?             | 27.69   | 27.22  | 1.017 |
| 400  | Forster Mutizwa          | 31.00   | 30.54  | 1.014 |
| 401  | Nisarg Patel             | 22.36   | 22.04  | 1.014 |
| 402  | Ashok Malhotra           | 30.46   | 30.06  | 1.013 |
| 403  | Irving Romaine           | 25.25   | 24.99  | 1.010 |
| 404  | Asanka Gurusinha         | 28.27   | 27.98  | 1.010 |
| 405  | Keith Arthurton          | 26.08   | 25.82  | 1.010 |
