+--------------------------+--------------------------+-------+
| Batter                   | Fielder                  | Count |
| Denesh Ramdin            | Scott Styris             | 3     |
| Habibul Bashar           | Mahela Jayawardene       | 3     |
| Mahendra Dhoni           | Paul Collingwood         | 3     |
| Yuvraj Singh             | Paul Collingwood         | 3     |
| Sir Alastair Cook        | Mahela Jayawardene       | 3     |
| Shane Watson             | Ramnaresh Sarwan         | 3     |
| Mahela Jayawardene       | Aftab Ahmed              | 3     |
| Ian Bell                 | Mike Hussey              | 3     |
| Ricky Ponting            | Andrew Strauss           | 3     |
| Stephen Fleming          | Mike Hussey              | 3     |
| Abdool Samad             | Steve Tikolo             | 3     |
| Ian Bell                 | Michael Clarke           | 3     |
| Paul Nixon               | Brad Hodge               | 3     |
| Kamran Akmal             | Ashwell Prince           | 3     |
| Shakib Al Hasan          | Hamilton Masakadza       | 3     |
| Mike Hussey              | Ross Taylor              | 3     |
| Niall O'Brien            | Tamim Iqbal              | 3     |
| James Hopes              | Rahul Dravid             | 3     |
| Ian Bell                 | Lasith Malinga           | 3     |
| Shahid Afridi            | AB de Villiers           | 3     |
| Shahid Afridi            | Graeme Smith             | 3     |
| Chamunorwa Chibhabha     | Misbah-ul-Haq            | 3     |
| Jacques Kallis           | Daren Sammy              | 3     |
| Michael Clarke           | Rohit Sharma             | 3     |
| Mohammad Ashraful        | Misbah-ul-Haq            | 3     |
| Younis Khan              | Suresh Raina             | 3     |
| Tamim Iqbal              | Younis Khan              | 3     |
| Kumar Sangakkara         | Gautam Gambhir           | 3     |
| Hamilton Masakadza       | Nuwan Kulasekara         | 3     |
| Angelo Mathews           | Hamilton Masakadza       | 3     |
| Mohammad Ashraful        | Vusimuzi Sibanda         | 3     |
| Herschelle Gibbs         | Mike Hussey              | 3     |
| Callum Ferguson          | AB de Villiers           | 3     |
| Mahela Jayawardene       | Ross Taylor              | 3     |
| Tillakaratne Dilshan     | Eoin Morgan              | 3     |
| Rakep Patel              | Charles Coventry         | 3     |
| Tillakaratne Dilshan     | Virat Kohli              | 3     |
| Upul Tharanga            | Virat Kohli              | 3     |
| Martin Guptill           | Tamim Iqbal              | 3     |
| Kieron Pollard           | Mike Hussey              | 3     |
| Kumar Sangakkara         | Nathan McCullum          | 3     |
| Mahmudullah              | Ross Taylor              | 3     |
| Shaun Marsh              | Ian Bell                 | 3     |
| Eoin Morgan              | Michael Clarke           | 3     |
| Mohammad Hafeez          | Ross Taylor              | 3     |
| Kamran Akmal             | Ross Taylor              | 3     |
| Kumar Sangakkara         | Ahmed Shehzad            | 3     |
| Andre Russell            | Virat Kohli              | 3     |
| Michael Clarke           | Mahela Jayawardene       | 3     |
| Mushfiqur Rahim          | Vusimuzi Sibanda         | 3     |
| Ravi Jadeja              | Ian Bell                 | 3     |
| Hamilton Masakadza       | Misbah-ul-Haq            | 3     |
| Upul Tharanga            | Younis Khan              | 3     |
| Mohammad Hafeez          | Dinesh Chandimal         | 3     |
| Mahela Jayawardene       | Mohammad Hafeez          | 3     |
| Virat Kohli              | Marlon Samuels           | 3     |
| Angelo Mathews           | Robin Peterson           | 3     |
| Mahendra Dhoni           | David Warner             | 3     |
| David Hussey             | Lahiru Thirimanne        | 3     |
| Tissara Perera           | Virat Kohli              | 3     |
| Tillakaratne Dilshan     | Saeed Ajmal              | 3     |
| David Warner             | Ian Bell                 | 3     |
| Tamim Iqbal              | Kieron Pollard           | 3     |
| Nasir Hossain            | Kieron Pollard           | 3     |
| Mominul Haque            | Kieron Pollard           | 3     |
| Matthew Wade             | Tillakaratne Dilshan     | 3     |
| Nathan Coulter-Nile      | Virat Kohli              | 3     |
| Dwayne Bravo             | Shikhar Dhawan           | 3     |
| Jean-Paul Duminy         | Suresh Raina             | 3     |
| Kane Williamson          | Ajinkya Rahane           | 3     |
| Shikhar Dhawan           | Ross Taylor              | 3     |
| Tissara Perera           | Mahmudullah              | 3     |
| Kusal Perera             | Chris Jordan             | 3     |
| Ajinkya Rahane           | Mahela Jayawardene       | 3     |
| Upul Tharanga            | Shikhar Dhawan           | 3     |
| Anshuman Rath            | Tony Ura                 | 3     |
| Sikandar Raza            | Mahmudullah              | 3     |
| Ahmed Shehzad            | Kane Williamson          | 3     |
| Paul Stirling            | Asghar Stanikzai         | 3     |
| Asghar Stanikzai         | Mahmudullah              | 3     |
| Quinton de Kock          | Virat Kohli              | 3     |
| Shikhar Dhawan           | Glenn Maxwell            | 3     |
| Sarfraz Ahmed            | Sean Williams            | 3     |
| Jason Roy                | Martin Guptill           | 3     |
| Jason Roy                | Aaron Finch              | 3     |
| Najibullah Zadaran       | Craig Ervine             | 3     |
| Virat Kohli              | Aaron Finch              | 3     |
| Babar Azam               | Henry Nicholls           | 3     |
| Kevin O'Brien            | Najibullah Zadaran       | 3     |
| William Porterfield      | Rahmat Shah              | 3     |
| Quinton de Kock          | Suranga Lakmal           | 3     |
| Tissara Perera           | Babar Azam               | 3     |
| Moeen Ali                | Fakhar Zaman             | 3     |
| Evin Lewis               | Virat Kohli              | 3     |
| Virat Kohli              | Marcus Stoinis           | 3     |
| Mohammad Nabi            | Kevin O'Brien            | 3     |
| David Warner             | Joe Root                 | 3     |
| Martin Guptill           | Ben Stokes               | 3     |
| Jason Roy                | Mitchell Santner         | 3     |
| Kusal Perera             | David Miller             | 3     |
| Shadab Khan              | Rassie van der Dussen    | 3     |
| Mashrafe Mortaza         | Trent Boult              | 3     |
| Kevin O'Brien            | Asghar Stanikzai         | 3     |
| Fakhar Zaman             | Joe Root                 | 3     |
| Romario Shepherd         | Mark Adair               | 3     |
| Shikhar Dhawan           | Mitchell Starc           | 3     |
| Virat Kohli              | Temba Bavuma             | 3     |
| Alan Knott               | Ashley Mallett           | 2     |
| Glenn Turner             | Ian Chappell             | 2     |
| Mark Burgess             | Doug Walters             | 2     |
| Chris Old                | Wasim Raja               | 2     |
| Alvin Kallicharran       | Ashley Mallett           | 2     |
| Gundappa Viswanath       | Glenn Turner             | 2     |
| Lance Cairns             | Zaheer Abbas             | 2     |
| Majid Khan               | Sir Clive Lloyd          | 2     |
