TITLE: Highest Scores On List A Debut
+-------------------------------+------+------------------------------------------------------------------------------+------------+-------------------------------------------------------------------------------+---------+----------+
| Player                        | Runs | Match                                                                        | StartDate  | Venue                                                                         | MatchId | PlayerId |
| Imam-ul-Haq                   | 89   | Khan Research Laboratories v National Bank of Pakistan                       | 2015-01-30 | National Stadium, Karachi                                                     | a24017  | 459921   |
| Asif Musazai                  | 89   | Band-e-Amir Region v Amo Region                                              | 2020-10-19 | Kandahar Cricket Stadium, Kandahar                                            | a28066  | 2177478  |
| Mike Smith                    | 88   | Warwickshire v Hampshire                                                     | 1964-05-27 | Edgbaston, Birmingham                                                         | a31     | 1077     |
| Zaheer Abbas                  | 88   | World XI v Australia                                                         | 1971-12-14 | Western Australia Cricket Association Ground, Perth                           | a630    | 1350     |
| Malcolm Kellow                | 88   | Griqualand West v Boland                                                     | 1987-10-03 | Oude Libertas, Stellenbosch Farmers Winery Ground, Stellenbosch               | a5437   | 25631    |
| Bazid Khan                    | 88   | Lahore City v Malaysia                                                       | 1998-03-19 | Gaddafi Stadium, Lahore                                                       | a11040  | 9192     |
| Dilan Sandagirigoda           | 88   | Burgher Recreation Club v Singha Sports Club                                 | 2007-11-14 | Burgher Recreation Club Ground, Colombo                                       | a18484  | 237642   |
| Tharaka Dushyantha            | 88   | Sebastianites Cricket and Athletic Club v Panadura Sports Club               | 2009-09-16 | Panadura Esplanade, Panadura                                                  | a19975  | 298471   |
| Avaikkarasan Sekar            | 88   | Saracens Sports Club v Tamil Union Cricket and Athletic Club                 | 2012-12-09 | P Sara Oval, Colombo                                                          | a22237  | 1219974  |
| Tom Bruce                     | 88   | Central Districts v Otago                                                    | 2015-01-28 | Pukekura Park, New Plymouth                                                   | a24002  | 952533   |
| Jacques Snyman                | 88   | Northern Cape v KwaZulu-Natal Inland                                         | 2016-12-17 | De Beers Diamond Oval, Kimberley                                              | a25009  | 1373090  |
| Haseeb Hameed                 | 88   | Lancashire v Leicestershire                                                  | 2017-04-28 | Emirates Old Trafford, Manchester                                             | a25487  | 483925   |
| Venkataraman Sivaramakrishnan | 87   | East Zone v North Zone                                                       | 1975-12-11 | Eden Gardens, Calcutta                                                        | a1566   | 11262    |
| Craig Garner                  | 87   | Central Districts v Wellington                                               | 1994-01-06 | Queen Elizabeth Park, Masterton                                               | a8465   | 18613    |
| Prashant Gupta                | 87   | Uttar Pradesh v Rajasthan                                                    | 2013-02-14 | Emerald High School Ground, Indore                                            | a22395  | 246309   |
| Edward Moore                  | 87   | Eastern Province v North West                                                | 2013-10-06 | Senwes Park, Potchefstroom                                                    | a22887  | 1037470  |
| Mohammad Yasir                | 87   | Bahawalpur Stags v Rawalpindi Rams                                           | 2013-10-28 | Multan Cricket Stadium, Multan                                                | a22938  | 70314    |
| Michael Jones                 | 87   | Scotland v Ireland                                                           | 2018-01-16 | ICC Cricket Academy Ground, Dubai                                             | a25916  | 2163900  |
| Siddharth Mhatre              | 87   | Maharashtra v Meghalaya                                                      | 2023-11-29 | Sawai Mansingh Stadium, Jaipur                                                | a30512  | 2113703  |
| Naseer Ahmed                  | 86   | Rawalpindi v House Building Finance Corporation                              | 1988-11-14 | Arbab Niaz Stadium, Peshawar                                                  | a5869   | 6436     |
| Masood Asim                   | 86   | Service Industries v Allied Bank Limited                                     | 2003-02-27 | Gaddafi Stadium, Lahore                                                       | a14953  | 49310    |
| Nicholas van Woerkom          | 86   | Northerns v Gauteng                                                          | 2004-10-10 | New Wanderers Stadium, Johannesburg                                           | a16184  | 45846    |
| Jibran Khan                   | 86   | Pakistan Customs v Khan Research Laboratories                                | 2009-03-21 | Khan Research Laboratories Ground, Rawalpindi                                 | a19655  | 85265    |
| Mayank Shandilya              | 86   | Haryana v Gujarat                                                            | 2025-12-29 | M Chinnaswamy Stadium, Bangalore                                              | a32084  | 1940049  |
| Justin Benson                 | 85   | Cambridgeshire v Yorkshire                                                   | 1986-06-25 | Headingley, Leeds                                                             | a4914   | 4328     |
| Atul Mohindra                 | 85   | Delhi v Wills' XI                                                            | 1987-04-03 | Barkatullah Khan Stadium, Jodhpur                                             | a5179   | 18228    |
| Ridley Jacobs                 | 85   | Leeward Islands v Jamaica                                                    | 1992-01-29 | Sabina Park, Kingston                                                         | a7410   | 2278     |
| Mark Conyers                  | 85   | Easterns v North West                                                        | 1999-12-08 | Willowmoore Park Main Oval, Benoni                                            | a12296  | 9411     |
