+-------------------------+--------------+---------+-------+-----+-----+---------+------------+---------+-------+-----+-----+---------+--------+
| Batsman                 | Test Matches | Innings | Runs  | Nos | HS  | Average | FC Matches | Innings | Runs  | Nos | HS  | Average | Diff   |
| Norm O'Neill            | 42           | 69      | 2779  | 8   | 181 | 45.55   | 188        | 306     | 13859 | 34  | 284 | 50.95   | 5.39   |
| Kiran More              | 49           | 64      | 1285  | 14  | 73  | 25.70   | 151        | 204     | 5223  | 36  | 181 | 31.08   | 5.38   |
| Deryck Murray           | 62           | 96      | 1993  | 9   | 91  | 22.90   | 367        | 555     | 13292 | 85  | 166 | 28.28   | 5.37   |
| Chandu Borde            | 55           | 97      | 3061  | 11  | 177 | 35.59   | 250        | 370     | 12805 | 57  | 207 | 40.91   | 5.31   |
| Dean Jones              | 52           | 89      | 3631  | 11  | 216 | 46.55   | 245        | 415     | 19188 | 45  | 324 | 51.85   | 5.30   |
| Mohammad Ashraful       | 61           | 119     | 2737  | 5   | 190 | 24.00   | 174        | 314     | 8859  | 10  | 263 | 29.14   | 5.13   |
| Alviro Petersen         | 36           | 64      | 2093  | 4   | 182 | 34.88   | 226        | 388     | 14765 | 19  | 286 | 40.01   | 5.13   |
| Kris Srikkanth          | 43           | 72      | 2062  | 3   | 123 | 29.88   | 134        | 213     | 7349  | 3   | 172 | 34.99   | 5.11   |
| Brad Haddin             | 66           | 112     | 3265  | 13  | 169 | 32.97   | 183        | 300     | 9931  | 39  | 169 | 38.04   | 5.07   |
| Glenn Turner            | 41           | 73      | 2991  | 6   | 259 | 44.64   | 455        | 792     | 34346 | 101 | 311 | 49.70   | 5.06   |
| Kieran Powell           | 44           | 83      | 2113  | 1   | 134 | 25.76   | 132        | 237     | 7039  | 8   | 139 | 30.73   | 4.96   |
| Justin Langer           | 105          | 182     | 7696  | 12  | 250 | 45.27   | 360        | 622     | 28382 | 57  | 342 | 50.23   | 4.96   |
| Simon Doull             | 32           | 50      | 570   | 11  | 46  | 14.61   | 99         | 126     | 1938  | 27  | 108 | 19.57   | 4.96   |
| Nasser Hussain          | 96           | 171     | 5764  | 16  | 207 | 37.18   | 334        | 545     | 20698 | 53  | 207 | 42.06   | 4.88   |
| Tamim Iqbal             | 64           | 123     | 4788  | 2   | 206 | 39.57   | 96         | 178     | 7508  | 9   | 334 | 44.42   | 4.85   |
